REPOSITORY                                 TAG                         IMAGE ID      CREATED        SIZE
docker.io/library/debian                   stable-slim                 122bf063a089  4 days ago     162 MB
localhost/vllm-glm47                       latest                      5bc5d22d9d9f  7 days ago     21.1 GB
<none>                                     <none>                      bd9477283739  7 days ago     21.1 GB
<none>                                     <none>                      3e318e60b4e4  7 days ago     21.1 GB
docker.io/vllm/vllm-openai                 cu130-nightly               1db24f7c3f70  7 days ago     20.9 GB
localhost/claude-sandbox                   latest                      db4f9def77ae  8 days ago     1.03 GB
<none>                                     <none>                      de565f444340  10 days ago    739 MB
<none>                                     <none>                      b845844a9c5e  10 days ago    431 MB
<none>                                     <none>                      3caafb6e480c  11 days ago    431 MB
<none>                                     <none>                      eac60cbe09b1  13 days ago    534 MB
docker.io/vllm/vllm-openai                 gemma4                      131dfe5904ca  2 weeks ago    22.5 GB
docker.io/lmsysorg/sglang                  latest                      40c1b9d45304  2 weeks ago    37.7 GB
ghcr.io/ovg-project/kvcached-vllm          latest                      a91880e0e16d  2 weeks ago    22.5 GB
docker.io/library/python                   3.12-slim                   b4acd70b6f4c  2 weeks ago    123 MB
docker.io/library/node                     22-slim                     aa6c5d88264b  2 weeks ago    233 MB
localhost/container_llama-server           latest                      2373b848fc9e  3 weeks ago    3.42 GB
registry.fedoraproject.org/fedora-toolbox  latest                      01613ee17984  3 weeks ago    1.05 GB
docker.io/vllm/vllm-openai                 latest                      22bea3378819  3 weeks ago    23.2 GB
docker.io/library/redis                    7-alpine                    aa189b5a1954  2 months ago   42.2 MB
docker.io/library/rabbitmq                 3-alpine                    5f3394787e6c  4 months ago   142 MB
docker.io/nvidia/cuda                      12.8.1-runtime-ubuntu24.04  011c9490f101  13 months ago  3.41 GB
docker.io/ajoergensen/tinyproxy            latest                      88ab3d2c5389  13 months ago  57.1 MB
docker.io/nvidia/cuda                      12.8.0-devel-ubuntu24.04    8434671bab95  15 months ago  9.44 GB
nvcr.io/nvidia/cuda                        12.3.2-base-ubuntu22.04     6d60897aa3d4  2 years ago    246 MB
